time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
2012-01-01 00:00:00+00:00,0.75,94.69,0.0,0.0,0.0,263.12,2.3,258.0,96693.0
2012-01-01 01:00:00+00:00,1.1,94.5,0.0,0.0,0.0,264.39,2.31,260.0,96706.0
2012-01-01 02:00:00+00:00,1.45,94.31,0.0,0.0,0.0,265.67,2.31,262.0,96718.0
2012-01-01 03:00:00+00:00,1.8,94.12,0.0,0.0,0.0,266.94,2.32,260.0,96728.0
2012-01-01 04:00:00+00:00,2.15,93.93,0.0,0.0,0.0,268.21,2.33,258.0,96737.0
2012-01-01 05:00:00+00:00,2.49,93.74,0.0,0.0,0.0,269.48,2.33,256.0,96747.0
2012-01-01 06:00:00+00:00,2.84,93.55,0.0,0.0,0.0,270.75,2.34,254.0,96794.0
2012-01-01 07:00:00+00:00,3.19,93.36,0.0,0.0,0.0,272.02,2.34,252.0,96842.0
2012-01-01 08:00:00+00:00,4.3,91.41,14.0,0.0,14.0,262.05,2.21,251.0,96889.0
2012-01-01 09:00:00+00:00,5.71,89.52,81.0,4.07,80.0,262.58,2.11,252.0,96880.0
2012-01-01 10:00:00+00:00,7.12,87.62,74.0,0.0,74.0,263.12,2.0,253.0,96870.0
2012-01-01 11:00:00+00:00,8.53,85.73,80.0,0.0,80.0,263.65,1.9,253.0,96861.0
2012-01-01 12:00:00+00:00,7.73,86.02,36.0,0.0,36.0,261.15,1.98,245.0,96848.0
2012-01-01 13:00:00+00:00,6.93,86.3,26.0,0.0,26.0,258.65,2.05,237.0,96835.0
2012-01-01 14:00:00+00:00,6.13,86.59,60.0,26.96,56.0,256.15,2.12,228.0,96823.0
2012-01-01 15:00:00+00:00,5.27,87.25,0.0,0.0,0.0,251.42,2.07,222.0,96813.0
2012-01-01 16:00:00+00:00,4.4,87.91,0.0,0.0,0.0,246.68,2.01,216.0,96804.0
2012-01-01 17:00:00+00:00,3.54,88.57,0.0,0.0,0.0,241.95,1.96,210.0,96794.0
2012-01-01 18:00:00+00:00,3.07,89.18,0.0,0.0,0.0,238.68,2.05,211.0,96782.0
2012-01-01 19:00:00+00:00,2.61,89.79,0.0,0.0,0.0,235.42,2.14,211.0,96769.0
2012-01-01 20:00:00+00:00,2.14,90.4,0.0,0.0,0.0,232.15,2.23,212.0,96756.0
2012-01-01 21:00:00+00:00,1.88,90.92,0.0,0.0,0.0,229.27,2.42,211.0,96690.0
2012-01-01 22:00:00+00:00,1.62,91.45,0.0,0.0,0.0,226.38,2.6,211.0,96623.0
2012-01-01 23:00:00+00:00,1.36,91.97,0.0,0.0,0.0,223.5,2.79,210.0,96557.0
2012-01-02 00:00:00+00:00,1.56,90.25,0.0,0.0,0.0,221.97,2.72,210.0,96531.0
2012-01-02 01:00:00+00:00,1.76,88.52,0.0,0.0,0.0,220.43,2.65,210.0,96506.0
2012-01-02 02:00:00+00:00,1.96,86.8,0.0,0.0,0.0,218.9,2.58,210.0,96481.0
2012-01-02 03:00:00+00:00,1.96,87.01,0.0,0.0,0.0,222.28,2.66,209.0,96439.0
2012-01-02 04:00:00+00:00,1.97,87.22,0.0,0.0,0.0,225.67,2.74,208.0,96398.0
2012-01-02 05:00:00+00:00,1.97,87.43,0.0,0.0,0.0,229.05,2.83,207.0,96357.0
2012-01-02 06:00:00+00:00,2.67,85.44,0.0,0.0,0.0,236.2,2.91,205.0,96360.0
2012-01-02 07:00:00+00:00,3.38,83.45,0.0,0.0,0.0,243.35,2.99,203.0,96363.0
2012-01-02 08:00:00+00:00,4.08,81.46,48.0,6.79,47.0,250.5,3.08,200.0,96367.0
